INFO 2013-04-19 02:10:36,030 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 36
INFO 2013-04-19 02:10:36,031 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:36,031 models 4574 140359092004608 No data for this hour (yet?): 36
INFO 2013-04-19 02:10:36,531 models 4574 140359092004608 Success for hour 36
INFO 2013-04-19 02:10:36,534 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results37.htm
INFO 2013-04-19 02:10:36,584 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 37
INFO 2013-04-19 02:10:36,584 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:36,584 models 4574 140359092004608 No data for this hour (yet?): 37
INFO 2013-04-19 02:10:37,085 models 4574 140359092004608 Success for hour 37
INFO 2013-04-19 02:10:37,095 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:37,596 models 4574 140359092004608 Success for hour 38
INFO 2013-04-19 02:10:37,607 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:38,107 models 4574 140359092004608 Success for hour 39
INFO 2013-04-19 02:10:38,119 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:38,621 models 4574 140359092004608 Success for hour 40
INFO 2013-04-19 02:10:38,632 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:39,133 models 4574 140359092004608 Success for hour 41
INFO 2013-04-19 02:10:39,143 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:39,644 models 4574 140359092004608 Success for hour 42
INFO 2013-04-19 02:10:39,656 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:40,157 models 4574 140359092004608 Success for hour 43
INFO 2013-04-19 02:10:40,168 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:40,669 models 4574 140359092004608 Success for hour 44
INFO 2013-04-19 02:10:40,671 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results45.htm
INFO 2013-04-19 02:10:40,723 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 45
INFO 2013-04-19 02:10:40,723 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:40,723 models 4574 140359092004608 No data for this hour (yet?): 45
INFO 2013-04-19 02:10:41,224 models 4574 140359092004608 Success for hour 45
INFO 2013-04-19 02:10:41,235 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:41,736 models 4574 140359092004608 Success for hour 46
INFO 2013-04-19 02:10:41,747 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:42,248 models 4574 140359092004608 Success for hour 47
INFO 2013-04-19 02:10:42,250 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results48.htm
INFO 2013-04-19 02:10:42,299 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 48
INFO 2013-04-19 02:10:42,300 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:42,300 models 4574 140359092004608 No data for this hour (yet?): 48
INFO 2013-04-19 02:10:42,800 models 4574 140359092004608 Success for hour 48
INFO 2013-04-19 02:10:42,802 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results49.htm
INFO 2013-04-19 02:10:42,853 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 49
INFO 2013-04-19 02:10:42,853 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:42,853 models 4574 140359092004608 No data for this hour (yet?): 49
INFO 2013-04-19 02:10:43,354 models 4574 140359092004608 Success for hour 49
INFO 2013-04-19 02:10:43,356 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results50.htm
INFO 2013-04-19 02:10:43,405 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 50
INFO 2013-04-19 02:10:43,405 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:43,405 models 4574 140359092004608 No data for this hour (yet?): 50
INFO 2013-04-19 02:10:43,906 models 4574 140359092004608 Success for hour 50
INFO 2013-04-19 02:10:43,907 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results51.htm
INFO 2013-04-19 02:10:43,956 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 51
INFO 2013-04-19 02:10:43,957 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:43,957 models 4574 140359092004608 No data for this hour (yet?): 51
INFO 2013-04-19 02:10:44,457 models 4574 140359092004608 Success for hour 51
